model_order,model_label,modality,seed,strategy_order,strategy,strategy_label,coverage_type,description,coverage_n,coverage_rate,source_pair_support,source_non_pair_support,pred_context_count,pred_context_rate,f1,precision,recall,accuracy,delta_f1_vs_original,tp,fp,fn,tn,binary_run,three_class_run
1,WavLM,A,456,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,72,0.003942181340341655,0.27578147823546595,0.29666876178504087,0.2576419213973799,0.8642685063512922,-0.005873084442146903,472,1119,1360,15313,WavLM_source_binary_seed456,WavLM_seed456
2,CLIP,V,42,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.17247809062092115,0.10400269844839218,0.5049126637554585,0.5140166447656592,0.0,925,7969,907,8463,CLIP_source_binary_seed42,
2,CLIP,V,42,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,17277,0.9459592641261498,1725,15552,987,0.0540407358738502,0.18806825258438162,0.11976522842639593,0.43768115942028984,0.6226775481854488,0.01559016196346047,755,5549,970,10003,CLIP_source_binary_seed42,CLIP_seed42
2,CLIP,V,42,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,987,0.0540407358738502,0.1889729255727283,0.11822795226992182,0.4705240174672489,0.5948861147612791,0.016494834951807147,862,6429,970,10003,CLIP_source_binary_seed42,CLIP_seed42
2,CLIP,V,42,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,987,0.0540407358738502,0.18559488692232054,0.11976522842639593,0.412117903930131,0.6372098116513359,0.013116796301399392,755,5549,1077,10883,CLIP_source_binary_seed42,CLIP_seed42
2,CLIP,V,123,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.15118263838088272,0.1366240634640811,0.16921397379912664,0.8094064826982041,0.0,310,1959,1522,14473,CLIP_source_binary_seed123,
2,CLIP,V,123,1,drop_context,Drop context,partial,exclude predicted emo-context rows; pair iff predicted emo-cause,14925,0.8171813403416557,1546,13379,3339,0.1828186596583443,0.1990753331520261,0.12603305785123967,0.47347994825355755,0.6053601340033501,0.047892694771143385,732,5076,814,8303,CLIP_source_binary_seed123,CLIP_seed123
2,CLIP,V,123,2,context_to_positive,Context -> pair,full,pair iff predicted emo-cause or emo-context,18264,1.0,1832,16432,3339,0.1828186596583443,0.18544494034065034,0.1112933202142779,0.5556768558951966,0.5103482260183968,0.03426230195976762,1018,8129,814,8303,CLIP_source_binary_seed123,CLIP_seed123
2,CLIP,V,123,3,context_to_negative,Context -> non-pair,full,pair iff predicted emo-cause,18264,1.0,1832,16432,3339,0.1828186596583443,0.19162303664921468,0.12603305785123967,0.39956331877729256,0.6618484450284713,0.040440398268331956,732,5076,1100,11356,CLIP_source_binary_seed123,CLIP_seed123
2,CLIP,V,456,0,original_binary_trained,Original binary trained,full,model trained and evaluated on original source-binary labels,18264,1.0,1832,16432,0,0.0,0.16936231585453795,0.10438095238095238,0.44868995633187775,0.5585304424003504,0.0,822,7053,1010,9379,CLIP_source_binary_seed456,
