model_family,family,modality,gold,pred,runs,count_mean,count_std,rate_within_gold_mean,rate_within_gold_std
CLIP,CLIP,v,emo_context,non_pair,3,526.0,48.53864439804639,0.5275827482447343,0.04868469849352695
CLIP,CLIP,v,non_pair,emo_cause,3,5700.666666666667,1287.348567146184,0.36842672181649755,0.08319967473315996
CLIP,CLIP,v,non_pair,emo_context,3,1289.0,1432.2677822250978,0.08330640470496994,0.09256561637853665
CLIP,CLIP,v,non_pair,non_pair,3,8483.333333333334,857.8020362142616,0.5482668734785325,0.05543863738216645
hilo,hilo_t,t,emo_cause,emo_cause,3,1086.6666666666667,71.30451131123004,0.6146304675716441,0.04033060594526591
hilo,hilo_t,t,emo_cause,emo_context,3,150.0,40.95119045888654,0.08484162895927601,0.023162438042356643
hilo,hilo_t,t,emo_cause,non_pair,3,531.3333333333334,39.87898360456712,0.3005279034690799,0.022555986201678223
hilo,hilo_t,t,emo_context,emo_cause,3,177.0,26.851443164195103,0.17933130699088143,0.027205109588850154
hilo,hilo_t,t,emo_context,emo_context,3,189.33333333333334,23.713568549109883,0.19182708544410673,0.02402590531824708
hilo,hilo_t,t,emo_context,non_pair,3,620.6666666666666,27.227437142216193,0.6288416075650118,0.027586055868506765
hilo,hilo_t,t,non_pair,emo_cause,3,1269.3333333333333,184.14758573854107,0.08203537344621814,0.011901220560882894
hilo,hilo_t,t,non_pair,emo_context,3,804.3333333333334,106.10529361598006,0.05198302419267972,0.00685744804601435
hilo,hilo_t,t,non_pair,non_pair,3,13399.333333333334,223.7193181943241,0.8659816023611021,0.014458690505675996
hilo,hilo_ta,ta,emo_cause,emo_cause,3,1018.0,82.41965784932621,0.57579185520362,0.0466174535346868
hilo,hilo_ta,ta,emo_cause,emo_context,3,160.66666666666666,6.806859285554048,0.09087481146304677,0.0038500335325531965
hilo,hilo_ta,ta,emo_cause,non_pair,3,589.3333333333334,79.1854363714271,0.3333333333333333,0.04478814274401987
hilo,hilo_ta,ta,emo_context,emo_cause,3,145.0,35.93048844644336,0.1469098277608916,0.03640373702780482
hilo,hilo_ta,ta,emo_context,emo_context,3,199.0,60.77005841695399,0.2016210739614995,0.06157047458657953
hilo,hilo_ta,ta,emo_context,non_pair,3,643.0,92.06519429187124,0.6514690982776089,0.09327780576684012
hilo,hilo_ta,ta,non_pair,emo_cause,3,1040.0,221.0407202304589,0.06721385639501067,0.014285576179826717
hilo,hilo_ta,ta,non_pair,emo_context,3,839.6666666666666,215.2215912340891,0.05426657187789483,0.0139094933906863
