run_name,family,model_family,modality,seed,gold,pred,count,rate_within_gold
m3hg_t_seed42,m3hg_t,m3hg,t,42,non_pair,non_pair,13374,0.8643443417566082
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_cause,emo_cause,1227,0.6839464882943144
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_cause,emo_context,223,0.12430323299888517
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_cause,non_pair,344,0.19175027870680045
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_context,emo_cause,163,0.16349047141424272
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_context,emo_context,403,0.40421263791374124
m3hg_t_seed456,m3hg_t,m3hg,t,456,emo_context,non_pair,431,0.43229689067201604
m3hg_t_seed456,m3hg_t,m3hg,t,456,non_pair,emo_cause,1206,0.07794222193498351
m3hg_t_seed456,m3hg_t,m3hg,t,456,non_pair,emo_context,1238,0.08001034059329154
m3hg_t_seed456,m3hg_t,m3hg,t,456,non_pair,non_pair,13029,0.842047437471725
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_cause,emo_cause,1108,0.6176142697881828
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_cause,emo_context,176,0.09810479375696766
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_cause,non_pair,510,0.2842809364548495
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_context,emo_cause,108,0.10832497492477432
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_context,emo_context,291,0.29187562688064195
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,emo_context,non_pair,598,0.5997993981945837
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,non_pair,emo_cause,913,0.059006010469850705
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,non_pair,emo_context,719,0.04646804110385833
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,non_pair,non_pair,13841,0.894525948426291
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,emo_cause,emo_cause,1176,0.6555183946488294
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,emo_cause,emo_context,216,0.12040133779264214
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,emo_cause,non_pair,402,0.22408026755852842
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,emo_context,emo_cause,121,0.1213640922768305
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,emo_context,emo_context,332,0.3329989969909729
