run_name,family,model_family,modality,seed,pair_role_macro_precision,pair_role_macro_recall,pair_role_macro_f1,pair_role_accuracy,pair_role_emo_cause_precision,pair_role_emo_cause_recall,pair_role_emo_cause_f1,pair_role_emo_context_precision,pair_role_emo_context_recall,pair_role_emo_context_f1,pair_role_non_pair_precision,pair_role_non_pair_recall,pair_role_non_pair_f1,pair_f1,emotion_f1,cause_f1,gold_context_pred_as_cause_rate,gold_context_pred_as_non_pair_rate
m3hg_ta_seed123,m3hg_ta,m3hg,ta,123,0.5638920069507085,0.6013386150317053,0.5804710034595059,0.8344283837056504,0.5204321277595115,0.6176142697881828,0.5648738210553148,0.24536256323777403,0.29187562688064195,0.26660558863948697,0.9258813298548398,0.894525948426291,0.9099336006837158,0.5648738210553148,0.8570212765957447,0.7941176470588235,0.10832497492477432,0.5997993981945837
m3hg_ta_seed456,m3hg_ta,m3hg,ta,456,0.5551916403341801,0.6272172981718697,0.5794218626201112,0.8124726237406921,0.5199258572752549,0.6254180602006689,0.5678137651821862,0.20846560846560847,0.39518555667001004,0.2729476965708348,0.937183455261677,0.8610482776449299,0.8975041261073124,0.5678137651821863,0.8594343604896582,0.7959287531806616,0.09929789368104312,0.5055165496489469
m3hg_tav_seed42,m3hg_tav,m3hg,tav,42,0.553781201245826,0.60433596791876,0.5749669944719819,0.828131844064827,0.49691629955947136,0.6287625418060201,0.5551181102362205,0.23372549019607844,0.29889669007021064,0.2623239436619718,0.9307018139819281,0.8853486718800491,0.9074589295177531,0.5551181102362205,0.8933969769291965,0.7859391395592864,0.13941825476429287,0.5616850551654965
m3hg_tav_seed123,m3hg_tav,m3hg,tav,123,0.5546918815356837,0.6065500503786405,0.5761384959072919,0.8276390713972843,0.5027027027027027,0.6220735785953178,0.5560538116591929,0.2290748898678414,0.31293881644934807,0.2645188639253921,0.9322980520365073,0.8846377560912557,0.9078428121372907,0.5560538116591929,0.8822075782537068,0.7946380697050939,0.1424272818455366,0.5446339017051154
m3hg_tav_seed456,m3hg_tav,m3hg,tav,456,0.5559783319353158,0.6208395764867509,0.5817180152440775,0.8240254051686378,0.4899443731279418,0.6382385730211817,0.5543451948680707,0.24282715185444367,0.34804413239719156,0.28606760098928274,0.9351634708235619,0.8762360240418794,0.904741249874879,0.5543451948680707,0.8814516129032257,0.7900318133616118,0.1424272818455366,0.5095285857572718
m3hg_tv_seed42,m3hg_tv,m3hg,tv,42,0.5423059535537024,0.6078336977670337,0.567831820040254,0.8185501533070522,0.48857142857142855,0.6672240802675585,0.5640904806786051,0.20430107526881722,0.2858575727181545,0.2382943143812709,0.9340453568208613,0.8704194403153881,0.9011106650608859,0.5640904806786051,0.8830645161290321,0.7977811396873423,0.1514543630892678,0.5626880641925778
m3hg_tv_seed123,m3hg_tv,m3hg,tv,123,0.5531489812248788,0.614643965389739,0.575666495648986,0.8184406482698204,0.5112149532710281,0.6098104793756968,0.556176919166243,0.2132309509746013,0.362086258776329,0.2684014869888476,0.935001039429007,0.8720351580171912,0.9024210807918673,0.556176919166243,0.8693134822167079,0.7844374342797056,0.12036108324974924,0.5175526579739218
m3hg_tv_seed456,m3hg_tv,m3hg,tv,456,0.5441734010239753,0.6178319031644617,0.5719729390496108,0.8154840122645641,0.4700683005222981,0.6521739130434783,0.5463460191454588,0.22543741588156124,0.33600802407221664,0.2698348771647201,0.9370144866680663,0.8653137723776901,0.8997379208386533,0.5463460191454588,0.8817204301075269,0.790084388185654,0.17251755265797392,0.49147442326980945
mecpe_t_seed42,mecpe_t,mecpe,t,42,0.5348032860665558,0.5770461490975802,0.5525990927353823,0.8161410424879545,0.4775435380384968,0.5808249721293199,0.5241448692152918,0.20655487804878048,0.27181544633901705,0.23473365093113902,0.92031144211239,0.8784980288244038,0.8989187580597163,0.5241448692152918,0.8416255222180021,0.7782945736434108,0.08425275827482448,0.6439317953861585
mecpe_t_seed123,mecpe_t,mecpe,t,123,0.5357250466742763,0.5980654316950553,0.5599034304091679,0.8108848007008322,0.46964586846543,0.620958751393534,0.5348055688910226,0.20941336971350613,0.30792377131394183,0.2492894843686561,0.9281159018438929,0.8653137723776901,0.895615237967825,0.5348055688910225,0.8584269662921349,0.7872662961091461,0.09729187562688064,0.5947843530591775
mecpe_t_seed456,mecpe_t,mecpe,t,456,0.5421595011544187,0.5905885434350536,0.5595362515347798,0.8107752956636005,0.5004985044865404,0.5596432552954292,0.5284210526315789,0.20189461219656601,0.3420260782347041,0.2539091586001489,0.9240853867801496,0.8700962967750274,0.8962785433726117,0.528421052631579,0.8542478565861263,0.780982905982906,0.08425275827482448,0.5737211634904714
mecpe_ta_seed42,mecpe_ta,mecpe,ta,42,0.5284040782272379,0.6014109915789229,0.554988751985075,0.8017958826106001,0.4554178328668533,0.6348940914158305,0.530384167636787,0.1997471554993679,0.316950852557673,0.24505622334238078,0.9300472463154925,0.8523880307632651,0.8895258649760572,0.5303841676367871,0.8619801251380198,0.7887323943661971,0.10431293881644935,0.5787362086258776
mecpe_ta_seed123,mecpe_ta,mecpe,ta,123,0.5299807355616889,0.6246707445596065,0.5569619349775893,0.7835632939115199,0.46061359867330015,0.6192865105908584,0.5282929148834997,0.19090098126672614,0.4292878635907723,0.2642790984871874,0.9384276267450404,0.8254378594971886,0.8783137915620809,0.5282929148834997,0.867728788440163,0.7904667328699106,0.09428284854563691,0.4764292878635908
mecpe_ta_seed456,mecpe_ta,mecpe,ta,456,0.5308970213551136,0.5984735806312039,0.5559228613703122,0.8048072711344721,0.46391322486441383,0.6198439241917503,0.5306609401097591,0.19924575738529227,0.31795386158475425,0.24497681607418856,0.9295320818156346,0.8576229561171073,0.8921308279269892,0.5306609401097591,0.8564026646928201,0.7847358121330722,0.09327983951855567,0.5887662988966901
mecpe_tav_seed42,mecpe_tav,mecpe,tav,42,0.5202658270693866,0.5995382865689257,0.5480883990853912,0.7950065703022339,0.4325633383010432,0.6471571906354515,0.5185350602947745,0.19780927835051546,0.30792377131394183,0.24087877599058455,0.9304248645566011,0.8435338977573839,0.8848513609708145,0.5185350602947745,0.8556508765386049,0.7781672508763144,0.15546639919759278,0.5366098294884654
mecpe_tav_seed123,mecpe_tav,mecpe,tav,123,0.5257250859156609,0.5958464484246901,0.5516411152798805,0.8062308366184845,0.44080416976917347,0.6599777034559643,0.5285714285714286,0.20676402767102228,0.26980942828485455,0.23411662315056572,0.9296070603067872,0.8577522135332515,0.892235294117647,0.5285714285714285,0.8624535315985129,0.7828627069133399,0.1424272818455366,0.5877632898696088
mecpe_tav_seed456,mecpe_tav,mecpe,tav,456,0.5302559792223124,0.6157494328328896,0.5573398727807378,0.7906811213315813,0.4619858745326132,0.6198439241917503,0.5293977624375149,0.1950975487743872,0.39117352056168503,0.260347129506008,0.9336845143599365,0.8362308537452336,0.8822747263986908,0.5293977624375148,0.8544047180243273,0.7841191066997519,0.09829488465396188,0.5105315947843531
mecpe_tv_seed42,mecpe_tv,mecpe,tv,42,0.528781682834016,0.5936137149563198,0.5535421576348587,0.8062855891371004,0.4606650446066504,0.633221850613155,0.5333333333333333,0.19902912621359223,0.28786359077231694,0.23534235342353424,0.9266508776818055,0.8597557034834874,0.8919507861477086,0.5333333333333333,0.8512059369202226,0.7820954254795869,0.1123370110330993,0.5997993981945837
mecpe_tv_seed123,mecpe_tv,mecpe,tv,123,0.5327335630273774,0.6002420757948923,0.5560702197836978,0.8004818221638196,0.4769503546099291,0.5997770345596433,0.5313580246913581,0.19181868435599778,0.34804413239719156,0.2473271560940841,0.9294316501162053,0.8529050604278421,0.8895254785656511,0.531358024691358,0.8567153011597457,0.7833163784333673,0.08826479438314945,0.563691073219659
mecpe_tv_seed456,mecpe_tv,mecpe,tv,456,0.5272963706697466,0.6039588272736763,0.5542552360395233,0.7977989487516426,0.4527543224768798,0.6276477146042363,0.526045316514833,0.19823008849557522,0.3370110330992979,0.24962852897473997,0.9309047010367846,0.847217734117495,0.8870918626289968,0.526045316514833,0.8582848837209301,0.7729166666666667,0.12637913741223672,0.5366098294884654
RoBERTa_seed42,RoBERTa,RoBERTa,t,42,0.4995524175872112,0.4875432012124982,0.49090224545208816,0.8041502409110819,0.4455239417071478,0.35785953177257523,0.3969088098918083,0.16216216216216217,0.21063189568706117,0.18324607329842932,0.8909711488923235,0.8941381761778582,0.8925518531660269,0.3969088098918084,0.7892918825561313,0.7587768969422425,0.055165496489468405,0.7342026078234705
RoBERTa_seed123,RoBERTa,RoBERTa,t,123,0.4821041105181673,0.5002219852734421,0.4899611067144849,0.7955540954883925,0.3680555555555556,0.4431438127090301,0.40212443095599393,0.18081918081918083,0.1815446339017051,0.18118118118118118,0.8974375951797656,0.8759775092095909,0.8865777080062794,0.40212443095599393,0.8226072607260726,0.7769396551724137,0.11334002006018054,0.7051153460381143
RoBERTa_seed456,RoBERTa,RoBERTa,t,456,0.4761927048125165,0.4891461077972162,0.48217859753883224,0.7951708278580815,0.38783649052841473,0.4336677814938685,0.4094736842105263,0.14678030303030304,0.15546639919759278,0.1509985387238188,0.8939613208788317,0.8783041427001874,0.8860635696821516,0.4094736842105264,0.8352893565358155,0.7762460233297984,0.09929789368104312,0.7452357071213641
WavLM_seed42,WavLM,WavLM,a,42,0.44228266371635033,0.40489918630633087,0.403517221155094,0.8143342093736312,0.2951622780159216,0.2686733556298774,0.28129559381383135,0.1619047619047619,0.017051153460381142,0.030852994555353903,0.8697809512283674,0.928973049828734,0.8984030750960967,0.2812955938138313,0.642077922077922,0.6408404464871963,0.13039117352056168,0.8525576730190572
WavLM_seed123,WavLM,WavLM,a,123,0.4668457108105926,0.40914153856246416,0.4108735176780472,0.8171265878230398,0.30382925298179536,0.2697881828316611,0.28579864186595805,0.22608695652173913,0.026078234704112337,0.046762589928057555,0.8706209229282436,0.931558198151619,0.9000593212401261,0.28579864186595805,0.6574500768049155,0.6443298969072164,0.12637913741223672,0.847542627883651
WavLM_seed456,WavLM,WavLM,a,456,0.46824451587386157,0.4051065577592661,0.4043741862866022,0.8177836180464302,0.2985543683218102,0.26477146042363436,0.28064992614475626,0.2361111111111111,0.017051153460381142,0.031805425631431246,0.8700680681886633,0.9334970593937827,0.9006672070836191,0.2806499261447563,0.6362694300518135,0.6392282958199357,0.1354062186559679,0.847542627883651
